station,hour,rides
Embarcadero at Sansome,16,813
Embarcadero at Sansome,17,733
Embarcadero at Sansome,18,558
Embarcadero at Sansome,19,332
Embarcadero at Sansome,20,190
Embarcadero at Sansome,21,125
Embarcadero at Sansome,22,87
Embarcadero at Sansome,23,48
Embarcadero at Vallejo,00,9
Embarcadero at Vallejo,01,7
Embarcadero at Vallejo,02,9
Embarcadero at Vallejo,03,4
Embarcadero at Vallejo,05,2
Embarcadero at Vallejo,06,3
Embarcadero at Vallejo,07,11
Embarcadero at Vallejo,08,52
Embarcadero at Vallejo,09,56
Embarcadero at Vallejo,10,69
Embarcadero at Vallejo,11,144
Embarcadero at Vallejo,12,218
Embarcadero at Vallejo,13,235
Embarcadero at Vallejo,14,229
Embarcadero at Vallejo,15,364
Embarcadero at Vallejo,16,352
Embarcadero at Vallejo,17,492
Embarcadero at Vallejo,18,266
Embarcadero at Vallejo,19,108
Embarcadero at Vallejo,20,58
Embarcadero at Vallejo,21,45
Embarcadero at Vallejo,22,29
Embarcadero at Vallejo,23,23
Evelyn Park and Ride,02,1
Evelyn Park and Ride,06,39
Evelyn Park and Ride,07,46
Evelyn Park and Ride,08,19
Evelyn Park and Ride,09,8
Evelyn Park and Ride,10,8
Evelyn Park and Ride,11,7
Evelyn Park and Ride,12,7
Evelyn Park and Ride,13,9
Evelyn Park and Ride,14,11
Evelyn Park and Ride,15,16
Evelyn Park and Ride,16,23
Evelyn Park and Ride,17,1
Evelyn Park and Ride,18,15
Evelyn Park and Ride,19,3
Evelyn Park and Ride,20,2
Evelyn Park and Ride,21,3
Franklin at Maple,02,1
Franklin at Maple,05,1
Franklin at Maple,07,2
Franklin at Maple,08,5
Franklin at Maple,09,3
Franklin at Maple,10,8
Franklin at Maple,11,15
Franklin at Maple,12,7
Franklin at Maple,13,3
Franklin at Maple,14,4
Franklin at Maple,15,8
Franklin at Maple,16,4
Franklin at Maple,17,12
Franklin at Maple,18,8
Franklin at Maple,19,6
Franklin at Maple,20,4
Franklin at Maple,21,5
Franklin at Maple,22,2
Franklin at Maple,23,1
Golden Gate at Polk,00,5
Golden Gate at Polk,01,6
Golden Gate at Polk,02,2
Golden Gate at Polk,03,3
Golden Gate at Polk,04,1
Golden Gate at Polk,05,17
Golden Gate at Polk,06,72
Golden Gate at Polk,07,142
Golden Gate at Polk,08,301
Golden Gate at Polk,09,226
Golden Gate at Polk,10,116
Golden Gate at Polk,11,89
Golden Gate at Polk,12,131
Golden Gate at Polk,13,79
Golden Gate at Polk,14,77
Golden Gate at Polk,15,101
Golden Gate at Polk,16,116
Golden Gate at Polk,17,95
Golden Gate at Polk,18,45
Golden Gate at Polk,19,34
Golden Gate at Polk,20,41
Golden Gate at Polk,21,28
Golden Gate at Polk,22,21
Golden Gate at Polk,23,9
Grant Avenue at Columbus Avenue,00,22
Grant Avenue at Columbus Avenue,01,23
Grant Avenue at Columbus Avenue,02,6
Grant Avenue at Columbus Avenue,03,3
Grant Avenue at Columbus Avenue,04,35
Grant Avenue at Columbus Avenue,05,73
Grant Avenue at Columbus Avenue,06,206
Grant Avenue at Columbus Avenue,07,467
Grant Avenue at Columbus Avenue,08,698
Grant Avenue at Columbus Avenue,09,418
Grant Avenue at Columbus Avenue,10,220
Grant Avenue at Columbus Avenue,11,164
Grant Avenue at Columbus Avenue,12,177
Grant Avenue at Columbus Avenue,13,182
Grant Avenue at Columbus Avenue,14,149
Grant Avenue at Columbus Avenue,15,181
Grant Avenue at Columbus Avenue,16,188
Grant Avenue at Columbus Avenue,17,198
Grant Avenue at Columbus Avenue,18,218
Grant Avenue at Columbus Avenue,19,130
Grant Avenue at Columbus Avenue,20,87
Grant Avenue at Columbus Avenue,21,51
Grant Avenue at Columbus Avenue,22,57
Grant Avenue at Columbus Avenue,23,51
Harry Bridges Plaza (Ferry Building),00,14
Harry Bridges Plaza (Ferry Building),01,3
Harry Bridges Plaza (Ferry Building),02,8
Harry Bridges Plaza (Ferry Building),03,1
Harry Bridges Plaza (Ferry Building),04,2
Harry Bridges Plaza (Ferry Building),05,16
Harry Bridges Plaza (Ferry Building),06,153
Harry Bridges Plaza (Ferry Building),07,545
Harry Bridges Plaza (Ferry Building),08,1107
Harry Bridges Plaza (Ferry Building),09,459
Harry Bridges Plaza (Ferry Building),10,283
Harry Bridges Plaza (Ferry Building),11,481
Harry Bridges Plaza (Ferry Building),12,639
Harry Bridges Plaza (Ferry Building),13,665
Harry Bridges Plaza (Ferry Building),14,586
Harry Bridges Plaza (Ferry Building),15,458
Harry Bridges Plaza (Ferry Building),16,581
Harry Bridges Plaza (Ferry Building),17,428
Harry Bridges Plaza (Ferry Building),18,360
Harry Bridges Plaza (Ferry Building),19,202
Harry Bridges Plaza (Ferry Building),20,152
Harry Bridges Plaza (Ferry Building),21,109
Harry Bridges Plaza (Ferry Building),22,53
Harry Bridges Plaza (Ferry Building),23,38
Howard at 2nd,00,13
Howard at 2nd,01,7
Howard at 2nd,02,13
Howard at 2nd,03,5
Howard at 2nd,04,54
Howard at 2nd,05,4
Howard at 2nd,06,20
Howard at 2nd,07,105
Howard at 2nd,08,147
Howard at 2nd,09,258
Howard at 2nd,10,137
Howard at 2nd,11,150
Howard at 2nd,12,258
Howard at 2nd,13,200
Howard at 2nd,14,152
Howard at 2nd,15,168
Howard at 2nd,16,326
Howard at 2nd,17,444
Howard at 2nd,18,358
Howard at 2nd,19,200
Howard at 2nd,20,108
