date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
02/17/14,23,16,7,52,44,7,50,,0,2,0,,,,,,1,Presidents' Day
02/18/14,54,53,1,55,49,6,54,,0,3,0,,,,,,0,
02/19/14,61,55,6,57,50,6,56,1,0,4,0,,,,,,0,
02/20/14,54,50,4,59,52,7,55,,0,5,0,,,,,,0,
02/21/14,53,51,2,56,45,11,57,,0,6,0,,,,,,0,
02/22/14,41,35,6,32,19,13,57,,1,7,0,,,,,,0,
02/23/14,22,13,9,30,15,15,57,,1,1,0,,,,,,0,
02/24/14,61,54,7,52,44,7,59,,0,2,0,,,,,,0,
02/25/14,50,47,3,55,49,6,55,,0,3,0,,,,,,0,
02/26/14,27,27,0,57,50,6,57,1,0,4,0,,,,,,0,
02/27/14,59,54,5,59,52,7,59,1,0,5,0,,,,,,0,
02/28/14,25,23,2,56,45,11,57,1,0,6,0,,,,,,0,
